# l                Dl               -dDl             +dDl
# Planck PR4 / NPIPE best-fit TE spectra (Tristram+2021)
# doi:10.1051/0004-6361/202039585
  8.50000000e+01  -1.36737210e+01  5.35914201e+00  5.35914201e+00
  8.60000000e+01  -1.42751198e+01  5.42473486e+00  5.42473486e+00
  8.70000000e+01  -1.48835085e+01  5.49065348e+00  5.49065348e+00
  8.80000000e+01  -1.54983619e+01  5.55686115e+00  5.55686115e+00
  8.90000000e+01  -1.61192295e+01  5.62333607e+00  5.62333607e+00
  9.00000000e+01  -1.67458090e+01  5.69000693e+00  5.69000693e+00
  9.10000000e+01  -1.73775775e+01  5.75683226e+00  5.75683226e+00
  9.20000000e+01  -1.80143158e+01  5.82376154e+00  5.82376154e+00
  9.30000000e+01  -1.86555099e+01  5.89076416e+00  5.89076416e+00
  9.40000000e+01  -1.93009427e+01  5.95778720e+00  5.95778720e+00
  9.50000000e+01  -1.99501000e+01  6.02480145e+00  6.02480145e+00
  9.60000000e+01  -2.06025419e+01  6.09175191e+00  6.09175191e+00
  9.70000000e+01  -2.12578286e+01  6.15859995e+00  6.15859995e+00
  9.80000000e+01  -2.19155204e+01  6.22531653e+00  6.22531653e+00
  9.90000000e+01  -2.25751032e+01  6.29185733e+00  6.29185733e+00
  1.00000000e+02  -2.32360632e+01  6.35817771e+00  6.35817771e+00
  1.01000000e+02  -2.38978862e+01  6.42422642e+00  6.42422642e+00
  1.02000000e+02  -2.45602814e+01  6.48996492e+00  6.48996492e+00
  1.03000000e+02  -2.52224378e+01  6.55537364e+00  6.55537364e+00
  1.04000000e+02  -2.58839901e+01  6.62037035e+00  6.62037035e+00
  1.05000000e+02  -2.65443503e+01  6.68496275e+00  6.68496275e+00
  1.06000000e+02  -2.72028563e+01  6.74906297e+00  6.74906297e+00
  1.07000000e+02  -2.78590686e+01  6.81267833e+00  6.81267833e+00
  1.08000000e+02  -2.85123994e+01  6.87572835e+00  6.87572835e+00
  1.09000000e+02  -2.91621867e+01  6.93818281e+00  6.93818281e+00
  1.10000000e+02  -2.98079913e+01  7.00003609e+00  7.00003609e+00
  1.11000000e+02  -3.04492965e+01  7.06119740e+00  7.06119740e+00
  1.12000000e+02  -3.10853492e+01  7.12168793e+00  7.12168793e+00
  1.13000000e+02  -3.17157646e+01  7.18140852e+00  7.18140852e+00
  1.14000000e+02  -3.23398609e+01  7.24036441e+00  7.24036441e+00
  1.15000000e+02  -3.29571045e+01  7.29851425e+00  7.29851425e+00
  1.16000000e+02  -3.35669625e+01  7.35581945e+00  7.35581945e+00
  1.17000000e+02  -3.41688272e+01  7.41225202e+00  7.41225202e+00
  1.18000000e+02  -3.47620915e+01  7.46776426e+00  7.46776426e+00
  1.19000000e+02  -3.53462964e+01  7.52233193e+00  7.52233193e+00
  1.20000000e+02  -3.59208349e+01  7.57596992e+00  7.57596992e+00
  1.21000000e+02  -3.64850999e+01  7.62856562e+00  7.62856562e+00
