# ell,Dl_TT (LCDM PR4 best-fit)
4.850000000000000000e+02,2.318542669121278323e+03
4.860000000000000000e+02,2.328400908473975051e+03
4.870000000000000000e+02,2.338138699283993446e+03
4.880000000000000000e+02,2.347748766570606676e+03
4.890000000000000000e+02,2.357238692212947171e+03
4.900000000000000000e+02,2.366593773259282443e+03
4.910000000000000000e+02,2.375814163733903115e+03
4.920000000000000000e+02,2.384900017986159128e+03
4.930000000000000000e+02,2.393851490732743514e+03
4.940000000000000000e+02,2.402661308741368885e+03
4.950000000000000000e+02,2.411322199205570087e+03
4.960000000000000000e+02,2.419834318109200012e+03
4.970000000000000000e+02,2.428182965178759787e+03
4.980000000000000000e+02,2.436368297275577333e+03
4.990000000000000000e+02,2.444383043323679885e+03
5.000000000000000000e+02,2.452219932625587717e+03
5.010000000000000000e+02,2.459871704783994119e+03
5.020000000000000000e+02,2.467338567899194913e+03
5.030000000000000000e+02,2.474613311883917504e+03
5.040000000000000000e+02,2.481696155104410082e+03
5.050000000000000000e+02,2.488594744276730580e+03
5.060000000000000000e+02,2.495294440948269767e+03
5.070000000000000000e+02,2.501802891468336838e+03
5.080000000000000000e+02,2.508112885093001296e+03
5.090000000000000000e+02,2.514217210529227486e+03
5.100000000000000000e+02,2.520130940817493411e+03
5.110000000000000000e+02,2.525832006350648953e+03
5.120000000000000000e+02,2.531335478187143963e+03
5.130000000000000000e+02,2.536626712700336157e+03
5.140000000000000000e+02,2.541705921473444505e+03
5.150000000000000000e+02,2.546573314385502727e+03
5.160000000000000000e+02,2.551229099392022363e+03
5.170000000000000000e+02,2.555666053950857531e+03
5.180000000000000000e+02,2.559876953145321295e+03
5.190000000000000000e+02,2.563869426155627480e+03
5.200000000000000000e+02,2.567628814278018581e+03
5.210000000000000000e+02,2.571162740797451988e+03
5.220000000000000000e+02,2.574463969009704215e+03
5.230000000000000000e+02,2.577525258698762173e+03
5.240000000000000000e+02,2.580361650969337916e+03
5.250000000000000000e+02,2.582958469583067654e+03
5.260000000000000000e+02,2.585330747555906783e+03
5.270000000000000000e+02,2.587471228510434685e+03
5.280000000000000000e+02,2.589380079890721845e+03
5.290000000000000000e+02,2.591057464436833925e+03
5.300000000000000000e+02,2.592510968371716444e+03
5.310000000000000000e+02,2.593725887849629999e+03
5.320000000000000000e+02,2.594717227270926287e+03
5.330000000000000000e+02,2.595477700707648637e+03
5.340000000000000000e+02,2.596000016846535345e+03
5.350000000000000000e+02,2.596299163947430316e+03
5.360000000000000000e+02,2.596360411314961311e+03
5.370000000000000000e+02,2.596198736039997129e+03
5.380000000000000000e+02,2.595806824503504686e+03
5.390000000000000000e+02,2.595192214099578450e+03
5.400000000000000000e+02,2.594340151472018533e+03
5.410000000000000000e+02,2.593273019319989544e+03
5.420000000000000000e+02,2.591983481264902821e+03
5.430000000000000000e+02,2.590464195285562255e+03
5.440000000000000000e+02,2.588730098817512044e+03
5.450000000000000000e+02,2.586781267064144231e+03
5.460000000000000000e+02,2.584610341422309375e+03
5.470000000000000000e+02,2.582224814620554298e+03
5.480000000000000000e+02,2.579624745767049717e+03
5.490000000000000000e+02,2.576810188808668045e+03
5.500000000000000000e+02,2.573781192648896194e+03
5.510000000000000000e+02,2.570552656127773844e+03
5.520000000000000000e+02,2.567109752513797503e+03
5.530000000000000000e+02,2.563467361983154660e+03
5.540000000000000000e+02,2.559632931857168842e+03
5.550000000000000000e+02,2.555599048397354181e+03
5.560000000000000000e+02,2.551365722003157771e+03
5.570000000000000000e+02,2.546955244059899997e+03
5.580000000000000000e+02,2.542352760283394218e+03
5.590000000000000000e+02,2.537565697666532742e+03
5.600000000000000000e+02,2.532594051219650282e+03
5.610000000000000000e+02,2.527452669158279605e+03
5.620000000000000000e+02,2.522126682933219399e+03
5.630000000000000000e+02,2.516630934157655702e+03
5.640000000000000000e+02,2.510972832973647201e+03
5.650000000000000000e+02,2.505137501461113516e+03
5.660000000000000000e+02,2.499139772190074382e+03
5.670000000000000000e+02,2.492987046560208000e+03
5.680000000000000000e+02,2.486671866531167325e+03
5.690000000000000000e+02,2.480201628093437193e+03
5.700000000000000000e+02,2.473576296276381981e+03
5.710000000000000000e+02,2.466803261896236563e+03
5.720000000000000000e+02,2.459889913241923296e+03
5.730000000000000000e+02,2.452836207749408459e+03
5.740000000000000000e+02,2.445642100365226725e+03
