# t, Delta(t)  [phase-difference convergence to Delta*]
0.000000000000000000e+00,2.500000000000000000e+00
1.000250062515628979e+00,2.187476236837388566e+00
2.000500125031257959e+00,1.786412131600594089e+00
3.000750187546886938e+00,1.347102221313748682e+00
4.001000250062515917e+00,9.473877726020029089e-01
5.001250312578145341e+00,6.366734784346604892e-01
6.001500375093773876e+00,4.181436301456135096e-01
7.001750437609402411e+00,2.722004119658831267e-01
8.002000500125031834e+00,1.770225621916078629e-01
9.002250562640661258e+00,1.155883201803969001e-01
1.000250062515629068e+01,7.610752517608321277e-02
1.100275068767191833e+01,5.078194519811647656e-02
1.200300075018754775e+01,3.454918086503496605e-02
1.300325081270317717e+01,2.414808442366579710e-02
1.400350087521880482e+01,1.748459916589350377e-02
1.500375093773443425e+01,1.321590860947656661e-02
1.600400100025006367e+01,1.048143177205090003e-02
1.700425106276569309e+01,8.729782637104780557e-03
1.800450112528132252e+01,7.607721472289023443e-03
1.900475118779695194e+01,6.888961185774951715e-03
2.000500125031258136e+01,6.428545026663321643e-03
2.100525131282820723e+01,6.133616743555440898e-03
2.200550137534383666e+01,5.944695013167930128e-03
2.300575143785946608e+01,5.823677791620867142e-03
2.400600150037509550e+01,5.746158053329912009e-03
2.500625156289072493e+01,5.696501413516951232e-03
2.600650162540635435e+01,5.664692978546859679e-03
2.700675168792198377e+01,5.644317527144034410e-03
2.800700175043760964e+01,5.631265674765094376e-03
2.900725181295323907e+01,5.622905082330948573e-03
3.000750187546886849e+01,5.617549558661887911e-03
3.100775193798449791e+01,5.614118984385150189e-03
3.200800200050012734e+01,5.611921470098328937e-03
3.300825206301575321e+01,5.610513813935947419e-03
3.400850212553138618e+01,5.609612115200525266e-03
3.500875218804701205e+01,5.609034516328367803e-03
3.600900225056264503e+01,5.608664525284534803e-03
3.700925231307827090e+01,5.608427521060697224e-03
3.800950237559390388e+01,5.608275703866689998e-03
3.900975243810952975e+01,5.608178454712164744e-03
4.001000250062516272e+01,5.608116160068165983e-03
4.101025256314078860e+01,5.608076256146233597e-03
4.201050262565641447e+01,5.608050694992283182e-03
